id,name,artist,album,release_date,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
6Zj3YsYfj8YTY9aGMDnpn8,Hot Dog,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,2000-10-17,,0.608,0.938,1,-3.615,1,0.0743,0.00154,1.49e-05,0.369,0.603,100.861,230240,4,67
3iGjPHGVRKPgQ6LvSN2zJI,Scars,Papa Roach,To Be Loved: The Best Of Papa Roach (Explicit Version),2010-01-01,,0.385,0.92,11,-3.852,1,0.0565,0.0856,0.0,0.177,0.451,89.292,208213,4,44
5DooySfCD1xCJ49gQm9rx7,Boom,P.O.D.,Satellite (U.S. Version),2001-09-11,,0.559,0.931,9,-5.863,1,0.0721,0.00318,1.24e-05,0.0624,0.644,90.911,190760,4,65
5egqKwgK5r5rvGD1LrtR7J,Points of Authority,Linkin Park,Hybrid Theory (Bonus Edition),2000,,0.512,0.97,8,-3.886,0,0.212,0.03,0.0,0.0994,0.427,94.952,200240,4,68
0QepvU0N2fC2B5uIPafO1q,Livin' It Up,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,2000-10-17,,0.506,0.928,8,-2.898,1,0.186,0.0039,0.00241,0.279,0.436,100.375,264040,4,61
2gSVKxPDww9Eep5rdvtdem,My Way,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,2000-10-17,,0.577,0.864,6,-3.981,1,0.0462,0.02,1.71e-06,0.683,0.609,97.225,272973,4,73
0CA3RxBx2xSQXPfpmUBK1v,Just Like You,Three Days Grace,Three Days Grace,2003-04-19,,0.373,0.737,1,-5.282,1,0.0297,9.4e-06,0.0,0.0696,0.565,177.9,186893,4,66
51c94ac31swyDQj9B3Lzs3,Change (In the House of Flies),Deftones,White Pony,2000-05-16,,0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,299533,4,77
3Fwe3XoPOiyWUPYdBKMTqV,Around the Fur,Deftones,Around the Fur,1997-10-27,,0.449,0.87,5,-4.241,0,0.112,1.94e-05,0.0411,0.0797,0.229,79.952,211733,4,66
4OSbctVD37ycS0H3rwRm72,Prayer Of The Refugee,Rise Against,The Sufferer & The Witness,2006-01-01,,0.2,0.977,3,-3.494,0,0.159,0.00165,1.1e-05,0.259,0.39,195.711,199387,4,66
4urxRqBRiaH0i20OKBsgxc,Break,Three Days Grace,Life Starts Now,2009-09-22,,0.578,0.897,0,-3.906,1,0.0357,0.000666,0.0,0.0924,0.737,115.491,193107,4,67
7oq2elG5ZmLVOkyoETo12d,The Shape,Slipknot,Iowa,2001,,0.363,0.993,7,-3.316,1,0.193,0.000105,0.000473,0.139,0.213,109.222,217667,4,49
1MTQHCpraD4S8g5PAFKzoj,Behind Blue Eyes,Limp Bizkit,Results May Vary,2003-01-01,,0.595,0.489,7,-6.66,1,0.0271,0.497,0.0,0.119,0.0902,120.312,269973,4,73
55a9zQ8GXMw3gApQosXMHC,Downfall,TRUSTcompany,The Lonely Position Of Neutral,2002-01-01,,0.354,0.925,6,-3.317,1,0.113,0.000154,1.6e-06,0.268,0.511,196.198,191373,4,0
44NRdYQw7P0GWuiunRv3hr,I Stand Alone,Godsmack,Faceless,2003-04-08,,0.219,0.92,0,-4.479,1,0.0623,2.81e-05,0.0,0.102,0.376,166.188,246040,4,69
5tJjQIhH6mH3PhG1DjW3gD,Southtown,P.O.D.,The Fundamental Elements of Southtown,1999,,0.319,0.852,0,-7.295,1,0.0716,0.00268,0.662,0.331,0.297,79.554,247253,4,55
6k9P9bb84TAtsnfOQz2OCj,Running From Me,TRUSTcompany,The Lonely Position Of Neutral,2002-07-22,,0.417,0.828,1,-3.662,1,0.0693,0.000681,0.000725,0.068,0.357,159.686,188160,4,38
1oFe7QvpwY3xZVyABI2TXP,Falling Apart,TRUSTcompany,The Lonely Position Of Neutral,2002-07-22,,0.503,0.792,6,-3.937,1,0.0422,0.00539,0.0,0.0762,0.438,92.068,208267,4,43
2Djbx0U7eJ7Lnd8Pq6Vf0y,B.B.K.,Korn,Follow The Leader,1998-08-18,,0.407,0.928,9,-6.075,1,0.0694,0.000112,0.132,0.196,0.104,113.877,236800,4,50
6wqJeItl3Vc3az4ZicSQAB,Before I Forget,Slipknot,Vol. 3: The Subliminal Verses,2004,,0.291,0.974,6,-2.997,0,0.171,0.0177,5.44e-06,0.886,0.348,134.724,278600,4,75
7yYvvOB7CuzdVldb6zOk1m,All In the Family (feat. Fred Durst),"Korn, Fred Durst",Follow The Leader,1998-08-18,,0.658,0.849,7,-7.577,1,0.109,0.0012,0.0,0.0415,0.609,92.807,288973,4,63
0fX9KPa0i9RGDI59gI90i9,Vermilion,Slipknot,Vol. 3: The Subliminal Verses,2004,,0.219,0.989,11,-2.962,0,0.16,0.00421,0.0156,0.375,0.149,168.069,316667,3,65
1EryAkZ0VHstC6haIxVBiE,Sextape,Deftones,Diamond Eyes,2008,,0.367,0.634,5,-6.475,1,0.027,0.000824,0.0759,0.116,0.0964,89.981,241533,4,75
4BIWl6xOUupdv3jpWtPSDC,Fully Alive,Flyleaf,Flyleaf,2006-01-01,,0.454,0.948,5,-4.126,1,0.0832,0.0142,0.0,0.346,0.488,149.087,154133,4,58
14EORgkbXqIx5K4Haucmnb,Absolute Zero,Stone Sour,"House of Gold & Bones, Part 1",2012-10-17,,0.552,0.988,1,-2.555,0,0.0787,0.000108,0.309,0.846,0.619,139.941,229840,4,64
3AhqnHZ5VisKtFV5fdGnxE,Slipping Away,TRUSTcompany,The Lonely Position Of Neutral,2002-07-22,,0.316,0.837,1,-4.244,0,0.0739,0.00236,0.0,0.0732,0.435,192.098,186200,4,31
5eek2X5459T1HoYJk2CKXv,Last Resort,Papa Roach,Infest,2000-04-25,,0.581,0.887,4,-3.659,0,0.0624,0.000504,0.00111,0.268,0.724,90.578,199893,4,2
33btcIyZxIWW6JL8YJsu3A,Hover,TRUSTcompany,The Lonely Position Of Neutral,2002-07-22,,0.471,0.873,1,-3.196,1,0.0435,0.0324,0.0,0.0694,0.219,100.165,218507,4,36
1HiA9v381VD7fEBiRXs16c,Red Sam,Flyleaf,Flyleaf,2006-01-01,,0.429,0.934,7,-4.28,1,0.0441,0.00312,0.0,0.122,0.773,166.049,200107,4,40
4cLdpErILMO8Db8pQVAVcZ,Mascara,Deftones,Around the Fur,1997-10-27,,0.472,0.446,5,-7.416,0,0.0354,0.00273,0.0606,0.091,0.0456,77.562,225293,4,71
3bBKwb2yVJpDf1V3bo4mP5,The War Is Over,TRUSTcompany,True Parallels,2005-01-01,,0.506,0.918,2,-3.786,0,0.0365,0.00178,0.0,0.357,0.616,105.974,200827,4,34
07xFWwKPOApMS56ildsV0G,Twist,Korn,Life Is Peachy,1996-10-15,,0.558,0.989,1,-5.041,0,0.158,0.395,9.81e-05,0.375,0.635,83.071,49213,4,65
5JrajjztyjvkuUB8ZqzUML,Good God,Korn,Life Is Peachy,1996-10-15,,0.548,0.904,11,-7.011,0,0.0992,0.003,0.024,0.655,0.585,124.75,201960,4,62
3IdHifB4ppyUZAMjvE9oAW,Erased,TRUSTcompany,True Parallels,2005-01-01,,0.479,0.946,2,-4.378,0,0.0469,0.000236,0.0,0.299,0.338,99.034,198573,4,20
40rvBMQizxkIqnjPdEWY1v,Down with the Sickness,Disturbed,The Sickness,2000-03-07,,0.695,0.876,3,-4.262,0,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,279213,4,75
2xLdx3Yex8tNuxObXAvPVl,Swallow,Korn,Life Is Peachy,1996-10-15,,0.456,0.563,7,-9.528,1,0.0407,0.0028,0.318,0.109,0.396,103.632,218707,4,47
1zPGaTv8hvpmdGjXjvxLLT,The Reflection,TRUSTcompany,True Parallels,2005-01-01,,0.471,0.926,2,-4.765,0,0.0645,0.00193,3.69e-05,0.0739,0.426,164.151,197267,4,29
5J27jwHsL1LYMMz9rOdHuw,Ass Itch,Korn,Life Is Peachy,1996-10-15,,0.423,0.95,9,-7.764,1,0.145,0.000298,0.0913,0.162,0.413,130.11,219413,4,46
6vsyag9kEPckt19NClSf51,Dead Bodies Everywhere,Korn,Follow The Leader,1998-08-18,,0.361,0.933,11,-6.885,0,0.0798,0.000661,0.265,0.117,0.0964,105.164,285280,4,57
2PeLrcfqn5agneKc3S2HMu,Wicked (feat. Chino Moreno),"Korn, Chino Moreno",Life Is Peachy,1996-10-15,,0.499,0.934,1,-7.351,1,0.187,0.0167,0.0,0.639,0.5,112.373,240547,4,54
0e06Zwd1027jFtmrRbXAjl,It's On!,Korn,Follow The Leader,1998-08-18,,0.44,0.798,11,-6.857,0,0.116,0.00076,0.0228,0.0992,0.237,90.965,269573,4,57
0mso7AHSDbdMadC1wCVhcu,Hey Daddy,Korn,Issues,1999-11-09,,0.465,0.803,7,-6.764,1,0.0452,5.18e-05,0.0465,0.0809,0.493,93.899,224680,4,49
7oL13WHjhUFhVq9POP7qfC,Say You'll Haunt Me,Stone Sour,Audio Secrecy,2010-01-09,,0.559,0.868,11,-4.738,0,0.0475,1.2e-05,0.00394,0.0418,0.684,140.021,264373,4,56
72ZarLfZuVXLa2VN1jzAWk,Children of the Korn (feat. Ice Cube),"Korn, Ice Cube",Follow The Leader,1998-08-18,,0.697,0.808,1,-6.803,0,0.203,0.00277,0.00259,0.0509,0.541,95.841,232600,4,55
3EhZiXAVPkfWSbgWZ7oDa4,Reclaim My Place,Korn,Follow The Leader,1998-08-18,,0.437,0.932,9,-6.535,1,0.0853,0.00022,0.413,0.131,0.124,109.237,272920,4,48
4V78u7Pbx6G33eej60wwOK,Somebody Someone,Korn,Issues,1999-11-09,,0.498,0.714,8,-7.917,1,0.0361,0.000915,0.361,0.101,0.226,91.289,227587,4,60
5NHTtXGCdO7ul16xr0q93w,Here to Stay,Korn,Untouchables,2002-06-11,,0.564,0.947,2,-4.998,1,0.0448,7.81e-06,0.828,0.373,0.351,100.002,270960,4,63
3RptaQ5Xb8WvtpItZ2f9Hi,Snuff,Slipknot,All Hope Is Gone,2008-08-22,,0.544,0.69,6,-5.723,0,0.0425,0.012,0.0095,0.0615,0.219,123.962,276147,4,66
286ek1kspX7VFaheXFSvPk,Make Me Bad,Korn,Issues,1999-11-09,,0.531,0.793,11,-6.889,0,0.0496,0.000192,0.0241,0.229,0.417,110.003,235613,4,63
0HAr4QR1xI8nwC7VfzYidu,Dead Memories,Slipknot,All Hope Is Gone,2008-08-22,,0.547,0.963,4,-2.337,0,0.0744,0.000443,0.0251,0.353,0.441,130.061,268587,4,58
3IRovqSVYx3CNtDWRebsET,Alive - 2006 Remaster,P.O.D.,Greatest Hits (The Atlantic Years),2006-10-27,,0.409,0.952,2,-3.761,0,0.0756,1.23e-05,0.000156,0.31,0.55,80.899,203693,4,50
1WAdq62hIVZ59nUIsjAzKW,Counting,Korn,Issues,1999-11-09,,0.482,0.616,10,-7.196,1,0.0351,0.000745,0.46,0.108,0.427,92.555,218160,4,45
6HgrJfzfj9WRBABdussy8z,Rx Queen,Deftones,White Pony,2000-05-16,,0.571,0.919,10,-6.596,1,0.0457,0.000106,0.274,0.171,0.548,143.155,268027,4,58
5PgNUYXmICNOudPFWLIuw3,No Place to Hide,Korn,Life Is Peachy,1996-10-15,,0.44,0.886,10,-6.445,0,0.0969,0.000779,0.183,0.495,0.631,108.322,211573,4,46
2uxL6E8Yq0Psc1V9uBtC4F,Faint,Linkin Park,Meteora (Bonus Edition),2003-09-16,,0.554,0.98,4,-3.514,1,0.108,0.127,0.0,0.0833,0.611,135.12,162107,4,53
27qsQGjOEBiVoZJB1ViI4Y,Pretty,Korn,Follow The Leader,1998-08-18,,0.377,0.847,2,-6.951,1,0.11,0.00032,0.192,0.625,0.4,111.893,252573,4,49
74WIE2htPZwxx4HgGhpf8i,My Plague,Slipknot,Iowa,2001,,0.279,0.993,11,-2.67,0,0.209,0.000278,0.000394,0.197,0.107,88.553,220293,4,60
5bU4KX47KqtDKKaLM4QCzh,Die MF Die,Dope,Life,2001-12-06,,0.657,0.96,5,-3.524,0,0.07,0.00169,0.000997,0.109,0.567,126.02,186067,4,62
1YrJCGCuGZQFBwTb6gwIEM,Blurry,Puddle Of Mudd,Come Clean (Repackaged International Version),2001,,0.44,0.932,3,-4.488,0,0.0584,0.0102,0.0,0.142,0.495,157.438,303920,4,0
6nmDEbjMZru5j55HIkX2yZ,Diamond Eyes,Deftones,Diamond Eyes,2008,,0.331,0.845,8,-4.876,1,0.0551,0.000109,0.000212,0.0758,0.468,153.484,188267,3,65
3v2XiE8ztYHOsrjIBN4Xh2,Again,Flyleaf,Memento Mori (Expanded),2009-01-01,,0.42,0.974,5,-3.737,1,0.1,0.00018,0.0,0.355,0.459,156.046,184920,3,56
6n8TMVyFKoUmDc4apxceRD,Breaking the Habit,Linkin Park,Meteora,2003-09-16,,0.58,0.865,4,-4.359,0,0.0313,0.105,0.0,0.106,0.587,100.016,196133,4,69
4DEYwr2SLpvj6plN2ngIfB,Trash,Korn,Issues,1999-11-09,,0.513,0.921,1,-6.369,0,0.0563,8.12e-05,0.0421,0.205,0.414,91.899,206867,4,58
77eRSoQbDt4qHlAhUqovmy,Nice to Know You,Incubus,Morning View,2001-10-23,,0.515,0.864,2,-5.384,1,0.0478,0.00182,7.32e-05,0.108,0.232,153.966,283160,4,57
3TZuUaGjEtyAiUM9iM89ff,Clown,Korn,Korn,1994-10-11,,0.458,0.787,1,-6.909,1,0.17,0.0101,8.76e-05,0.065,0.301,80.482,276573,4,58
6RJdYpFQwLyNfDc5FbjkgV,Stricken,Disturbed,Ten Thousand Fists,2005-09-19,,0.402,0.969,8,-2.825,1,0.181,9.14e-05,0.0325,0.225,0.262,173.847,245227,4,71
1PJRDeZSoZk7gtisdTYfLi,Crawling In The Dark,Hoobastank,Hoobastank (20th Anniversary Edition),2001,,0.588,0.927,6,-4.776,0,0.113,0.000305,3.83e-05,0.195,0.652,93.571,175227,4,64
2WSWm0zlL3CJRACHS5KXbB,Y'all Want a Single,Korn,Take A Look In The Mirror,2003-11-19,,0.758,0.813,0,-3.685,1,0.0779,0.0101,0.0,0.538,0.721,118.025,197907,4,66
